MONTH;SECTOR;AVG_DAILY_ACTIVE_ADDRESSES;TRANSACTIONS
2023-01;DEX Trading;37453;4858886
2023-01;Lending Deposits;321;17970
2023-01;Lending Borrows;224;10062
2023-01;NFT Sales;51832;2281024
2023-01;NFT Transfers;127658;10108354
2023-01;Others;125640;13597160
2023-02;DEX Trading;45529;5010529
2023-02;Lending Deposits;366;16829
2023-02;Lending Borrows;218;8458
2023-02;NFT Sales;49160;2229948
2023-02;NFT Transfers;128839;8361298
2023-02;Others;125817;13334550
2023-03;DEX Trading;43847;5428981
2023-03;Lending Deposits;496;27696
2023-03;Lending Borrows;284;15079
2023-03;NFT Sales;39040;2139369
2023-03;NFT Transfers;104907;8693408
2023-03;Others;172743;15886403
2023-04;DEX Trading;47549;5695803
2023-04;Lending Deposits;280;13064
2023-04;Lending Borrows;207;8577
2023-04;NFT Sales;30166;1315458
2023-04;NFT Transfers;87412;6263511
2023-04;Others;167622;15897377
2023-05;DEX Trading;75544;9533244
2023-05;Lending Deposits;184;8927
2023-05;Lending Borrows;137;5770
2023-05;NFT Sales;14069;527312
2023-05;NFT Transfers;48678;3204786
2023-05;Others;188376;18847229
2023-06;DEX Trading;49762;6162450
2023-06;Lending Deposits;301;15645
2023-06;Lending Borrows;207;9363
2023-06;NFT Sales;20264;928725
2023-06;NFT Transfers;72837;5920356
2023-06;Others;213762;17694308
2023-07;DEX Trading;55870;7902506
2023-07;Lending Deposits;263;12552
2023-07;Lending Borrows;207;8762
2023-07;NFT Sales;14199;556684
2023-07;NFT Transfers;49330;3128947
2023-07;Others;188536;18928065
2023-08;DEX Trading;59412;8049096
2023-08;Lending Deposits;326;16143
2023-08;Lending Borrows;229;10011
2023-08;NFT Sales;13005;509220
2023-08;NFT Transfers;63598;4223264
2023-08;Others;180426;18329179
2023-09;DEX Trading;50337;6732932
2023-09;Lending Deposits;288;13362
2023-09;Lending Borrows;199;8589
2023-09;NFT Sales;12532;506060
2023-09;NFT Transfers;70664;4226414
2023-09;Others;224577;18303022
2023-10;DEX Trading;52681;7283871
2023-10;Lending Deposits;377;19918
2023-10;Lending Borrows;266;13102
2023-10;NFT Sales;12175;537540
2023-10;NFT Transfers;93845;5817911
2023-10;Others;158158;16992964
2023-11;DEX Trading;64837;7920078
2023-11;Lending Deposits;339;18166
2023-11;Lending Borrows;303;14325
2023-11;NFT Sales;14121;611547
2023-11;NFT Transfers;57794;3058143
2023-11;Others;181648;20247760
2023-12;DEX Trading;66958;7165031
2023-12;Lending Deposits;353;16820
2023-12;Lending Borrows;318;13301
2023-12;NFT Sales;13790;647670
2023-12;NFT Transfers;97561;4713287
2023-12;Others;178860;22036262
2024-01;DEX Trading;63616;6844735
2024-01;Lending Deposits;435;21808
2024-01;Lending Borrows;334;14822
2024-01;NFT Sales;13967;642260
2024-01;NFT Transfers;104894;4741740
2024-01;Others;192416;23205379
2024-02;DEX Trading;65851;6314482
2024-02;Lending Deposits;376;16952
2024-02;Lending Borrows;377;14630
2024-02;NFT Sales;12744;550368
2024-02;NFT Transfers;59890;9019688
2024-02;Others;240193;15844576
2024-03;DEX Trading;85822;8026908
2024-03;Lending Deposits;452;21598
2024-03;Lending Borrows;418;17871
2024-03;NFT Sales;9182;395131
2024-03;NFT Transfers;79843;3507923
2024-03;Others;277574;26600475
2024-04;DEX Trading;74467;7589169
2024-04;Lending Deposits;525;23846
2024-04;Lending Borrows;388;17058
2024-04;NFT Sales;8373;341164
2024-04;NFT Transfers;90593;3781986
2024-04;Others;254130;23667581
2024-05;DEX Trading;63929;7750950
2024-05;Lending Deposits;491;25441
2024-05;Lending Borrows;406;18518
2024-05;NFT Sales;6419;296208
2024-05;NFT Transfers;143303;5398280
2024-05;Others;190209;21708845
2024-06;DEX Trading;68388;8547803
2024-06;Lending Deposits;491;24494
2024-06;Lending Borrows;385;17413
2024-06;NFT Sales;5545;230525
2024-06;NFT Transfers;154617;5547520
2024-06;Others;169686;19876641
2024-07;DEX Trading;66982;9315790
2024-07;Lending Deposits;600;34940
2024-07;Lending Borrows;470;23798
2024-07;NFT Sales;4823;174589
2024-07;NFT Transfers;40553;1883012
2024-07;Others;263008;23252581
2024-08;DEX Trading;60675;9182865
2024-08;Lending Deposits;782;46501
2024-08;Lending Borrows;548;28632
2024-08;NFT Sales;5364;207468
