MONTH,ACTIVE_SWAPPERS,TOTAL_VOLUME_USD,TOTAL_VOLUME_BILLIONS,AVG_SWAP_SIZE,TOTAL_SWAPS
2023-01-01T00:00:00.000Z,436835,46056917690.9,46.056917691,11723.114813246,3928727
2023-02-01T00:00:00.000Z,493863,49391512316.34,49.391512316,11495.171969941,4296718
2023-03-01T00:00:00.000Z,536523,83855361629.9,83.85536163,18308.039571198,4580248
2023-04-01T00:00:00.000Z,535810,32621442463.26,32.621442463,7152.36796347,4560929
2023-05-01T00:00:00.000Z,737425,35391414277.84,35.391414278,4676.59070444,7567781
2023-06-01T00:00:00.000Z,535533,32559064634.18,32.559064634,6732.810705431,4835880
2023-07-01T00:00:00.000Z,566381,32479597523.41,32.479597523,5671.320802622,5726990
2023-08-01T00:00:00.000Z,568649,25867420277.51,25.867420278,4406.759091914,5869942
2023-09-01T00:00:00.000Z,503810,19822893381.99,19.822893382,3986.770636469,4972168
2023-10-01T00:00:00.000Z,569035,34985315344.16,34.985315344,6262.203506831,5586742
2023-11-01T00:00:00.000Z,635352,37369190112.11,37.369190112,5970.231609444,6259253
2023-12-01T00:00:00.000Z,744343,41219027863.17,41.219027863,6826.487506036,6038102
2024-01-01T00:00:00.000Z,803947,41982020775.59,41.982020776,7029.072434067,5972626
2024-02-01T00:00:00.000Z,728876,41495398722.71,41.495398723,7631.035963214,5437715
2024-03-01T00:00:00.000Z,1026753,75184816333.05,75.184816333,10457.327342483,7189678
2024-04-01T00:00:00.000Z,909644,64817440630.59,64.817440631,9672.075149499,6701503
2024-05-01T00:00:00.000Z,829479,63854361693.79,63.854361694,9507.877254734,6715943
2024-06-01T00:00:00.000Z,809629,45808302238.41,45.808302238,6524.160332292,7021333
2024-07-01T00:00:00.000Z,837590,51441915513.17,51.441915513,6773.991568534,7594033
2024-08-01T00:00:00.000Z,821107,51461391462.98,51.461391463,6650.044777779,7738503
2024-09-01T00:00:00.000Z,717413,34452130461.56,34.452130462,4556.817749878,7560568
2024-10-01T00:00:00.000Z,803664,38977704868.35,38.977704868,4950.215510676,7873941
2024-11-01T00:00:00.000Z,966275,65725488562.33,65.725488562,8586.696847674,7654339
2024-12-01T00:00:00.000Z,986420,69141110387.38,69.141110387,9920.805633874,6969304
2025-01-01T00:00:00.000Z,975803,63630421577.27,63.630421577,9025.411204864,7050141
2025-02-01T00:00:00.000Z,834361,54810488694.7,54.810488695,7981.672561931,6867043
2025-03-01T00:00:00.000Z,662533,40001234219.38,40.001234219,5665.650028211,7060308
2025-04-01T00:00:00.000Z,584059,34111028947.74,34.111028948,4738.830249654,7198196
2025-05-01T00:00:00.000Z,750905,46531550228.97,46.531550229,5639.214543934,8251424
2025-06-01T00:00:00.000Z,743527,40635862068.72,40.635862069,5424.02713207,7491825
2025-07-01T00:00:00.000Z,861074,49977021639.67,49.97702164,5817.809709694,8590350
2025-08-01T00:00:00.000Z,938259,77518238637.74,77.518238638,8252.68070638,9393098
