MONTH,AVG_FEE_USD,FEE_CATEGORY,TOTAL_TRANSACTIONS,UNIQUE_USERS,TRANSACTIONS_MILLIONS,USERS_MILLIONS,DEX_TRANSACTIONS,DEX_USERS,DEX_VOLUME_BILLIONS,PREV_MONTH_FEE,PREV_MONTH_TX_MILLIONS,FEE_CHANGE,TX_CHANGE_MILLIONS
2023-01-01T00:00:00.000Z,3.638338647,Medium ($3-$7),31861360,5094172,31.86136,5.094172,3928727,436835,46.056917691,,,,
2023-02-01T00:00:00.000Z,5.395704756,Medium ($3-$7),29793394,4618633,29.793394,4.618633,4296718,493863,49.391512316,3.638338647,31.86136,1.75736611,-2.067966
2023-03-01T00:00:00.000Z,5.530693227,Medium ($3-$7),33108527,5459642,33.108527,5.459642,4580248,536523,83.85536163,5.395704756,29.793394,0.1349884707,3.315133
2023-04-01T00:00:00.000Z,7.993577866,High ($7-$15),30166975,4931833,30.166975,4.931833,4560929,535810,32.621442463,5.530693227,33.108527,2.462884638,-2.941552
2023-05-01T00:00:00.000Z,13.274622142,High ($7-$15),33518531,4816241,33.518531,4.816241,7567781,737425,35.391414278,7.993577866,30.166975,5.281044277,3.351556
2023-06-01T00:00:00.000Z,4.938267481,Medium ($3-$7),31628238,5938088,31.628238,5.938088,4835880,535533,32.559064634,13.274622142,33.518531,-8.336354661,-1.890293
2023-07-01T00:00:00.000Z,6.240657718,Medium ($3-$7),31474009,4998742,31.474009,4.998742,5726990,566381,32.479597523,4.938267481,31.628238,1.302390237,-0.154229
2023-08-01T00:00:00.000Z,4.913823704,Medium ($3-$7),31954470,4905618,31.95447,4.905618,5869942,568649,25.867420278,6.240657718,31.474009,-1.326834014,0.480461
2023-09-01T00:00:00.000Z,3.042158695,Medium ($3-$7),30490754,6323307,30.490754,6.323307,4972168,503810,19.822893382,4.913823704,31.95447,-1.871665008,-1.463716
2023-10-01T00:00:00.000Z,2.842571476,Low ($1-$3),31344185,5196516,31.344185,5.196516,5586742,569035,34.985315344,3.042158695,30.490754,-0.1995872194,0.853431
2023-11-01T00:00:00.000Z,7.254108741,High ($7-$15),32567905,4738224,32.567905,4.738224,6259253,635352,37.369190112,2.842571476,31.344185,4.411537264,1.22372
2023-12-01T00:00:00.000Z,9.234871252,High ($7-$15),35192228,5637056,35.192228,5.637056,6038102,744343,41.219027863,7.254108741,32.567905,1.980762511,2.624323
2024-01-01T00:00:00.000Z,5.852397303,Medium ($3-$7),36015512,6112315,36.015512,6.112315,5972626,803947,41.982020776,9.234871252,35.192228,-3.382473949,0.823284
2024-02-01T00:00:00.000Z,10.641171851,High ($7-$15),32284932,5908142,32.284932,5.908142,5437715,728876,41.495398723,5.852397303,36.015512,4.788774548,-3.73058
2024-03-01T00:00:00.000Z,15.24953406,Very High (>$15),39151778,7666811,39.151778,7.666811,7189678,1026753,75.184816333,10.641171851,32.284932,4.608362209,6.866846
2024-04-01T00:00:00.000Z,6.10007418,Medium ($3-$7),36001237,7112610,36.001237,7.11261,6701503,909644,64.817440631,15.24953406,39.151778,-9.14945988,-3.150541
2024-05-01T00:00:00.000Z,3.433925108,Medium ($3-$7),35834960,7365719,35.83496,7.365719,6715943,829479,63.854361694,6.10007418,36.001237,-2.666149072,-0.166277
2024-06-01T00:00:00.000Z,3.986016769,Medium ($3-$7),35046829,7141275,35.046829,7.141275,7021333,809629,45.808302238,3.433925108,35.83496,0.5520916611,-0.788131
2024-07-01T00:00:00.000Z,2.65019729,Low ($1-$3),35491828,6851079,35.491828,6.851079,7594033,837590,51.441915513,3.986016769,35.046829,-1.335819478,0.444999
2024-08-01T00:00:00.000Z,1.873711389,Low ($1-$3),33964679,6769835,33.964679,6.769835,7738503,821107,51.461391463,2.65019729,35.491828,-0.776485901,-1.527149
2024-09-01T00:00:00.000Z,2.98996417,Low ($1-$3),33858491,5520719,33.858491,5.520719,7560568,717413,34.452130462,1.873711389,33.964679,1.116252781,-0.106188
2024-10-01T00:00:00.000Z,3.963721629,Medium ($3-$7),35799574,5831374,35.799574,5.831374,7873941,803664,38.977704868,2.98996417,33.858491,0.9737574592,1.941083
2024-11-01T00:00:00.000Z,5.068824995,Medium ($3-$7),36691039,6654774,36.691039,6.654774,7654339,966275,65.725488562,3.963721629,35.799574,1.105103365,0.891465
2024-12-01T00:00:00.000Z,5.346399273,Medium ($3-$7),39605071,7622116,39.605071,7.622116,6969304,986420,69.141110387,5.068824995,36.691039,0.2775742788,2.914032
2025-01-01T00:00:00.000Z,3.882573318,Medium ($3-$7),37865788,7158696,37.865788,7.158696,7050141,975803,63.630421577,5.346399273,39.605071,-1.463825955,-1.739283
2025-02-01T00:00:00.000Z,1.288664168,Low ($1-$3),35574438,6997478,35.574438,6.997478,6867043,834361,54.810488695,3.882573318,37.865788,-2.59390915,-2.29135
2025-03-01T00:00:00.000Z,0.5802560036,Ultra Low (<$1),36924035,6635672,36.924035,6.635672,7060308,662533,40.001234219,1.288664168,35.574438,-0.7084081644,1.349597
2025-04-01T00:00:00.000Z,0.5585383988,Ultra Low (<$1),37148607,6738027,37.148607,6.738027,7198196,584059,34.111028948,0.5802560036,36.924035,-0.02171760479,0.224572
2025-05-01T00:00:00.000Z,0.9712788988,Ultra Low (<$1),41982826,6896187,41.982826,6.896187,8251424,750905,46.531550229,0.5585383988,37.148607,0.4127405,4.834219
2025-06-01T00:00:00.000Z,0.9229426084,Ultra Low (<$1),41950659,7233112,41.950659,7.233112,7491825,743527,40.635862069,0.9712788988,41.982826,-0.04833629044,-0.032167
2025-07-01T00:00:00.000Z,1.045731822,Low ($1-$3),46669808,8508549,46.669808,8.508549,8590350,861074,49.97702164,0.9229426084,41.950659,0.1227892133,4.719149
2025-08-01T00:00:00.000Z,0.7555037262,Ultra Low (<$1),51770533,9559571,51.770533,9.559571,9393098,938259,77.518238638,1.045731822,46.669808,-0.2902280955,5.100725
