MONTH,COHORT,UNIQUE_USERS,TOTAL_VOLUME,AVG_VOLUME_PER_USER
2023-01-01T00:00:00.000Z,Whale (>$1M),2256,41378370193.05,18341476.1494016
2023-01-01T00:00:00.000Z,Large ($100K-$1M),10057,2898322743.95,288189.593710848
2023-01-01T00:00:00.000Z,Medium ($10K-$100K),43473,1323062815.89,30434.127294873
2023-01-01T00:00:00.000Z,Small ($1K-$10K),114861,392436917.59,3416.624594858
2023-01-01T00:00:00.000Z,Retail (<$1K),266188,64725020.42,243.155290321
2023-02-01T00:00:00.000Z,Whale (>$1M),2769,43330050640.46,15648266.7535067
2023-02-01T00:00:00.000Z,Large ($100K-$1M),13030,3722629983.62,285696.852158097
2023-02-01T00:00:00.000Z,Medium ($10K-$100K),57573,1773418006.62,30802.945940285
2023-02-01T00:00:00.000Z,Small ($1K-$10K),140861,490031664.69,3478.831363472
2023-02-01T00:00:00.000Z,Retail (<$1K),279630,75382020.95,269.577731109
2023-03-01T00:00:00.000Z,Whale (>$1M),4572,75754392426.1,16569202.1929353
2023-03-01T00:00:00.000Z,Large ($100K-$1M),18282,5428042924.28,296906.40653539
2023-03-01T00:00:00.000Z,Medium ($10K-$100K),65198,2077074570.83,31857.94918295
2023-03-01T00:00:00.000Z,Small ($1K-$10K),147994,520059223.15,3514.056131667
2023-03-01T00:00:00.000Z,Retail (<$1K),300477,75792485.54,252.240555983
2023-04-01T00:00:00.000Z,Whale (>$1M),2265,27040319290.09,11938330.8124018
2023-04-01T00:00:00.000Z,Large ($100K-$1M),11732,3259685068.37,277845.641695363
2023-04-01T00:00:00.000Z,Medium ($10K-$100K),57031,1723698871.01,30223.893514229
2023-04-01T00:00:00.000Z,Small ($1K-$10K),149569,514824135.25,3442.051061717
2023-04-01T00:00:00.000Z,Retail (<$1K),315213,82915098.54,263.044666749
2023-05-01T00:00:00.000Z,Whale (>$1M),2742,26939613875.44,9824804.47681984
2023-05-01T00:00:00.000Z,Large ($100K-$1M),18246,5036559261.68,276036.351073112
2023-05-01T00:00:00.000Z,Medium ($10K-$100K),82962,2563242500.87,30896.585194065
2023-05-01T00:00:00.000Z,Small ($1K-$10K),212980,731520650.36,3434.691756785
2023-05-01T00:00:00.000Z,Retail (<$1K),420495,120477989.49,286.514677915
2023-06-01T00:00:00.000Z,Whale (>$1M),2094,27431165384.74,13099887.9583286
2023-06-01T00:00:00.000Z,Large ($100K-$1M),10962,3011941081.57,274762.003427294
2023-06-01T00:00:00.000Z,Medium ($10K-$100K),50726,1561839994.38,30789.732964949
2023-06-01T00:00:00.000Z,Small ($1K-$10K),137617,469538226.47,3411.920231294
2023-06-01T00:00:00.000Z,Retail (<$1K),334134,84579947.02,253.131818432
2023-07-01T00:00:00.000Z,Whale (>$1M),1785,27367363764.28,15331856.450577
2023-07-01T00:00:00.000Z,Large ($100K-$1M),10631,2814480669.31,264742.796473521
2023-07-01T00:00:00.000Z,Medium ($10K-$100K),55357,1680614780.22,30359.571151255
2023-07-01T00:00:00.000Z,Small ($1K-$10K),153241,526560123.92,3436.156928759
2023-07-01T00:00:00.000Z,Retail (<$1K),345367,90578185.68,262.266475025
2023-08-01T00:00:00.000Z,Whale (>$1M),1900,20496821977.78,10787801.0409368
2023-08-01T00:00:00.000Z,Large ($100K-$1M),11322,3007840311.91,265663.337918212
2023-08-01T00:00:00.000Z,Medium ($10K-$100K),57699,1742338168.32,30197.025395934
2023-08-01T00:00:00.000Z,Small ($1K-$10K),154163,530473947.76,3440.993933434
2023-08-01T00:00:00.000Z,Retail (<$1K),343565,89945871.74,261.801614658
2023-09-01T00:00:00.000Z,Whale (>$1M),1249,16071593556.64,12867568.9004323
2023-09-01T00:00:00.000Z,Large ($100K-$1M),7474,2008850501.01,268778.498930961
2023-09-01T00:00:00.000Z,Medium ($10K-$100K),42035,1253438314.41,29818.920290472
