MONTH,CATEGORY,VOLUME_USD,VOLUME_USD_BILLIONS
2023-01-01T00:00:00.000Z,Bridge Activity,879873236.82,0.8798732368
2023-01-01T00:00:00.000Z,DEX Trading,46056917690.9,46.056917691
2023-01-01T00:00:00.000Z,Lending Borrows,3386503844.68,3.386503845
2023-01-01T00:00:00.000Z,Lending Deposits,5185084862.67,5.185084863
2023-01-01T00:00:00.000Z,Liquidations,1811373.53,0.00181137353
2023-01-01T00:00:00.000Z,NFT Sales,1221364242.18832,1.221364242
2023-01-01T00:00:00.000Z,Token Transfers,17376364383.64,17.376364384
2023-02-01T00:00:00.000Z,Bridge Activity,2018469534.31,2.018469534
2023-02-01T00:00:00.000Z,DEX Trading,49391512316.34,49.391512316
2023-02-01T00:00:00.000Z,Lending Borrows,2716997381.79,2.716997382
2023-02-01T00:00:00.000Z,Lending Deposits,6555528702.24,6.555528702
2023-02-01T00:00:00.000Z,Liquidations,731678.99,0.00073167899
2023-02-01T00:00:00.000Z,NFT Sales,2502301020.77197,2.502301021
2023-02-01T00:00:00.000Z,Token Transfers,21338076120.03,21.33807612
2023-03-01T00:00:00.000Z,Bridge Activity,2358208160.45,2.35820816
2023-03-01T00:00:00.000Z,DEX Trading,83855361629.9,83.85536163
2023-03-01T00:00:00.000Z,Lending Borrows,7940722139.98,7.94072214
2023-03-01T00:00:00.000Z,Lending Deposits,28501736203.91,28.501736204
2023-03-01T00:00:00.000Z,Liquidations,20984751.79,0.02098475179
2023-03-01T00:00:00.000Z,NFT Sales,2146119122.27091,2.146119122
2023-03-01T00:00:00.000Z,Token Transfers,22059831850.1,22.05983185
2023-04-01T00:00:00.000Z,Bridge Activity,1897635273.41,1.897635273
2023-04-01T00:00:00.000Z,DEX Trading,32621442463.26,32.621442463
2023-04-01T00:00:00.000Z,Lending Borrows,2467258183.61,2.467258184
2023-04-01T00:00:00.000Z,Lending Deposits,8185946659.45,8.185946659
2023-04-01T00:00:00.000Z,Liquidations,4461957.83,0.00446195783
2023-04-01T00:00:00.000Z,NFT Sales,1499478114.595,1.499478115
2023-04-01T00:00:00.000Z,Token Transfers,19079901578.65,19.079901579
2023-05-01T00:00:00.000Z,Bridge Activity,3540191701.08,3.540191701
2023-05-01T00:00:00.000Z,DEX Trading,35391414277.84,35.391414278
2023-05-01T00:00:00.000Z,Lending Borrows,1878713839.24,1.878713839
2023-05-01T00:00:00.000Z,Lending Deposits,13216975404.24,13.216975404
2023-05-01T00:00:00.000Z,Liquidations,22092094.92,0.02209209492
2023-05-01T00:00:00.000Z,NFT Sales,997734522.113898,0.9977345221
2023-05-01T00:00:00.000Z,Token Transfers,27205591790.16,27.20559179
2023-06-01T00:00:00.000Z,Bridge Activity,2066581385.57,2.066581386
2023-06-01T00:00:00.000Z,DEX Trading,32559064634.18,32.559064634
2023-06-01T00:00:00.000Z,Lending Borrows,2598966799.29,2.598966799
2023-06-01T00:00:00.000Z,Lending Deposits,10516725711.09,10.516725711
2023-06-01T00:00:00.000Z,Liquidations,13696683.43,0.01369668343
2023-06-01T00:00:00.000Z,NFT Sales,1130495490.69309,1.130495491
2023-06-01T00:00:00.000Z,Token Transfers,17090510177.59,17.090510178
2023-07-01T00:00:00.000Z,Bridge Activity,1931160130.83,1.931160131
2023-07-01T00:00:00.000Z,DEX Trading,32479597523.41,32.479597523
2023-07-01T00:00:00.000Z,Lending Borrows,2379258830.71,2.379258831
2023-07-01T00:00:00.000Z,Lending Deposits,14069861518.01,14.069861518
2023-07-01T00:00:00.000Z,Liquidations,3222287.66,0.00322228766
2023-07-01T00:00:00.000Z,NFT Sales,813649635.62915,0.8136496356
2023-07-01T00:00:00.000Z,Token Transfers,17828822942.51,17.828822943
2023-08-01T00:00:00.000Z,Bridge Activity,2479259441.77,2.479259442
2023-08-01T00:00:00.000Z,DEX Trading,25867420277.51,25.867420278
2023-08-01T00:00:00.000Z,Lending Borrows,3189864488.2,3.189864488
2023-08-01T00:00:00.000Z,Lending Deposits,12440753785.2,12.440753785
2023-08-01T00:00:00.000Z,Liquidations,73056776.53,0.07305677653
2023-08-01T00:00:00.000Z,NFT Sales,572491156.91762,0.5724911569
2023-08-01T00:00:00.000Z,Token Transfers,18003179454.95,18.003179455
2023-09-01T00:00:00.000Z,Bridge Activity,2391031218.8,2.391031219
2023-09-01T00:00:00.000Z,DEX Trading,19822893381.99,19.822893382
2023-09-01T00:00:00.000Z,Lending Borrows,2103924976.74,2.103924977
2023-09-01T00:00:00.000Z,Lending Deposits,17187427005.57,17.187427006
2023-09-01T00:00:00.000Z,Liquidations,7151797.46,0.00715179746
2023-09-01T00:00:00.000Z,NFT Sales,382379026.711848,0.3823790267
2023-09-01T00:00:00.000Z,Token Transfers,14321895433.47,14.321895433
2023-10-01T00:00:00.000Z,Bridge Activity,2265456175.82,2.265456176
2023-10-01T00:00:00.000Z,DEX Trading,34985315344.16,34.985315344
2023-10-01T00:00:00.000Z,Lending Borrows,3204608831.1,3.204608831
2023-10-01T00:00:00.000Z,Lending Deposits,48125015744.06,48.125015744
2023-10-01T00:00:00.000Z,Liquidations,3242700.2,0.0032427002
2023-10-01T00:00:00.000Z,NFT Sales,448981157.060615,0.4489811571
2023-10-01T00:00:00.000Z,Token Transfers,17691217944.47,17.691217944
2023-11-01T00:00:00.000Z,Bridge Activity,2519123996.36,2.519123996
2023-11-01T00:00:00.000Z,DEX Trading,37369190112.11,37.369190112
2023-11-01T00:00:00.000Z,Lending Borrows,3548183613.81,3.548183614
2023-11-01T00:00:00.000Z,Lending Deposits,43494982029.09,43.494982029
2023-11-01T00:00:00.000Z,Liquidations,2116160.53,0.00211616053
2023-11-01T00:00:00.000Z,NFT Sales,699317478.412999,0.6993174784
2023-11-01T00:00:00.000Z,Token Transfers,24004014565.86,24.004014566
2023-12-01T00:00:00.000Z,Bridge Activity,2881350927.78,2.881350928
2023-12-01T00:00:00.000Z,DEX Trading,41219027863.17,41.219027863
2023-12-01T00:00:00.000Z,Lending Borrows,4110865350.92,4.110865351
2023-12-01T00:00:00.000Z,Lending Deposits,35570300537.03,35.570300537
2023-12-01T00:00:00.000Z,Liquidations,3184893.71,0.00318489371
2023-12-01T00:00:00.000Z,NFT Sales,918894985.748728,0.9188949857
2023-12-01T00:00:00.000Z,Token Transfers,28568477775.13,28.568477775
2024-01-01T00:00:00.000Z,Bridge Activity,2892081876.6,2.892081877
2024-01-01T00:00:00.000Z,DEX Trading,41982020775.59,41.982020776
2024-01-01T00:00:00.000Z,Lending Borrows,4312309522.35,4.312309522
2024-01-01T00:00:00.000Z,Lending Deposits,65340026495.01,65.340026495
2024-01-01T00:00:00.000Z,Liquidations,43519620.78,0.04351962078
2024-01-01T00:00:00.000Z,NFT Sales,1023335768.67386,1.023335769
2024-01-01T00:00:00.000Z,Token Transfers,27067263002.86,27.067263003
2024-02-01T00:00:00.000Z,Bridge Activity,3662589475.15,3.662589475
2024-02-01T00:00:00.000Z,DEX Trading,41495398722.71,41.495398723
2024-02-01T00:00:00.000Z,Lending Borrows,4262799555.24,4.262799555
2024-02-01T00:00:00.000Z,Lending Deposits,47848621022.3,47.848621022
2024-02-01T00:00:00.000Z,Liquidations,8653277.67,0.00865327767
2024-02-01T00:00:00.000Z,NFT Sales,902522359.114397,0.9025223591
2024-02-01T00:00:00.000Z,Token Transfers,26837760290.11,26.83776029
2024-03-01T00:00:00.000Z,Bridge Activity,5948208821.43,5.948208821
2024-03-01T00:00:00.000Z,DEX Trading,75184816333.05,75.184816333
2024-03-01T00:00:00.000Z,Lending Borrows,7327840162.83,7.327840163
2024-03-01T00:00:00.000Z,Lending Deposits,49490899876.37,49.490899876
2024-03-01T00:00:00.000Z,Liquidations,54811565.76,0.05481156576
2024-03-01T00:00:00.000Z,NFT Sales,1042743789.06648,1.042743789
2024-03-01T00:00:00.000Z,Token Transfers,39699871444.81,39.699871445
2024-04-01T00:00:00.000Z,Bridge Activity,4341059927.51,4.341059928
2024-04-01T00:00:00.000Z,DEX Trading,64817440630.59,64.817440631
2024-04-01T00:00:00.000Z,Lending Borrows,4923103913.92,4.923103914
2024-04-01T00:00:00.000Z,Lending Deposits,137998672382.38,137.998672382
2024-04-01T00:00:00.000Z,Liquidations,185981784.01,0.185981784
2024-04-01T00:00:00.000Z,NFT Sales,672048506.358634,0.6720485064
2024-04-01T00:00:00.000Z,Token Transfers,32090561250.91,32.090561251
2024-05-01T00:00:00.000Z,Bridge Activity,3383656568.13,3.383656568
2024-05-01T00:00:00.000Z,DEX Trading,63854361693.79,63.854361694
2024-05-01T00:00:00.000Z,Lending Borrows,6503967865.13,6.503967865
2024-05-01T00:00:00.000Z,Lending Deposits,90789504836.86,90.789504837
2024-05-01T00:00:00.000Z,Liquidations,28273013.67,0.02827301367
2024-05-01T00:00:00.000Z,NFT Sales,514157172.066813,0.5141571721
2024-05-01T00:00:00.000Z,Token Transfers,28821867246.47,28.821867246
2024-06-01T00:00:00.000Z,Bridge Activity,3039746177.3,3.039746177
2024-06-01T00:00:00.000Z,DEX Trading,45808302238.41,45.808302238
2024-06-01T00:00:00.000Z,Lending Borrows,5953111028.43,5.953111028
2024-06-01T00:00:00.000Z,Lending Deposits,67630224908.76,67.630224909
2024-06-01T00:00:00.000Z,Liquidations,40906723.77,0.04090672377
2024-06-01T00:00:00.000Z,NFT Sales,443039725.707796,0.4430397257
2024-06-01T00:00:00.000Z,Token Transfers,28547844849.89,28.54784485
2024-07-01T00:00:00.000Z,Bridge Activity,3339640294.72,3.339640295
2024-07-01T00:00:00.000Z,DEX Trading,51441915513.17,51.441915513
2024-07-01T00:00:00.000Z,Lending Borrows,7896660809.66,7.89666081
2024-07-01T00:00:00.000Z,Lending Deposits,107499665472.48,107.499665472
2024-07-01T00:00:00.000Z,Liquidations,77930083.93,0.07793008393
2024-07-01T00:00:00.000Z,NFT Sales,183946762.722747,0.1839467627
2024-07-01T00:00:00.000Z,Token Transfers,27909822881.09,27.909822881
2024-08-01T00:00:00.000Z,Bridge Activity,2936119147.47,2.936119147
2024-08-01T00:00:00.000Z,DEX Trading,51461391462.98,51.461391463
2024-08-01T00:00:00.000Z,Lending Borrows,7389795392.24,7.389795392
2024-08-01T00:00:00.000Z,Lending Deposits,140489893780.85,140.489893781
2024-08-01T00:00:00.000Z,Liquidations,486872665.91,0.4868726659
2024-08-01T00:00:00.000Z,NFT Sales,180643021.781687,0.1806430218
2024-08-01T00:00:00.000Z,Token Transfers,27256543287.79,27.256543288
2024-09-01T00:00:00.000Z,Bridge Activity,3521044211.59,3.521044212
2024-09-01T00:00:00.000Z,DEX Trading,34452130461.56,34.452130462
2024-09-01T00:00:00.000Z,Lending Borrows,5149773475.22,5.149773475
2024-09-01T00:00:00.000Z,Lending Deposits,67720640617.4201,67.720640617
2024-09-01T00:00:00.000Z,Liquidations,33586557.73,0.03358655773
2024-09-01T00:00:00.000Z,NFT Sales,132498748.280462,0.1324987483
2024-09-01T00:00:00.000Z,Token Transfers,25776545644.65,25.776545645
2024-10-01T00:00:00.000Z,Bridge Activity,4003268155.74,4.003268156
2024-10-01T00:00:00.000Z,DEX Trading,38977704868.35,38.977704868
2024-10-01T00:00:00.000Z,Lending Borrows,8318550916.33,8.318550916
2024-10-01T00:00:00.000Z,Lending Deposits,41084855172.21,41.084855172
2024-10-01T00:00:00.000Z,Liquidations,11881593.23,0.01188159323
2024-10-01T00:00:00.000Z,NFT Sales,207943684.716649,0.2079436847
2024-10-01T00:00:00.000Z,Token Transfers,30469287314.02,30.469287314
2024-11-01T00:00:00.000Z,Bridge Activity,6218294705.87,6.218294706
2024-11-01T00:00:00.000Z,DEX Trading,65725488562.33,65.725488562
2024-11-01T00:00:00.000Z,Lending Borrows,14692175015.7,14.692175016
2024-11-01T00:00:00.000Z,Lending Deposits,49784322975.41,49.784322975
2024-11-01T00:00:00.000Z,Liquidations,15667426.3,0.0156674263
2024-11-01T00:00:00.000Z,NFT Sales,290833586.059866,0.2908335861
2024-11-01T00:00:00.000Z,Token Transfers,37288567905.65,37.288567906
2024-12-01T00:00:00.000Z,Bridge Activity,6869141750.37,6.86914175
2024-12-01T00:00:00.000Z,DEX Trading,69141110387.38,69.141110387
2024-12-01T00:00:00.000Z,Lending Borrows,16763524866.67,16.763524867
2024-12-01T00:00:00.000Z,Lending Deposits,57197980702.78,57.197980703
2024-12-01T00:00:00.000Z,Liquidations,54258868.9600001,0.05425886896
2024-12-01T00:00:00.000Z,NFT Sales,1104275804.95087,1.104275805
2024-12-01T00:00:00.000Z,Token Transfers,39584722904.53,39.584722905
2025-01-01T00:00:00.000Z,Bridge Activity,6963476845.94,6.963476846
2025-01-01T00:00:00.000Z,DEX Trading,63630421577.27,63.630421577
